"","ppt_no","PC","HR","FA","AS","RT","CR","dur","age","cond"
"1",1,0.75,0.611,0.111,6.61,2029.06,0.5,"900ms","Older","Shape"
"2",2,0.889,1,0.222,5,1418.94,0.778,"900ms","Younger","Shape"
"3",3,0.833,0.889,0.222,6.36,742.47,0.667,"900ms","Younger","Shape"
"4",4,0.861,0.889,0.167,7.53,1188.47,0.722,"900ms","Younger","Shape"
"5",5,0.778,0.778,0.222,7.06,1637.67,0.556,"900ms","Older","Shape"
"6",6,0.639,0.611,0.333,3.17,1717.97,0.278,"900ms","Older","Shape"
"7",7,0.944,1,0.111,4.97,1059.56,0.889,"900ms","Older","Shape"
"8",8,0.889,0.889,0.111,5.03,887.39,0.778,"900ms","Younger","Shape"
"9",9,0.917,1,0.167,3.86,1209.83,0.833,"900ms","Younger","Shape"
"10",10,0.917,1,0.167,7.47,2208.44,0.833,"900ms","Older","Shape"
"11",11,0.889,0.889,0.111,7.64,1385.28,0.778,"900ms","Older","Shape"
"12",12,0.805,0.778,0.167,6.67,1895.56,0.611,"900ms","Older","Shape"
"13",13,0.833,0.889,0.222,5.75,867.22,0.667,"900ms","Younger","Shape"
"14",14,0.972,1,0.056,5.97,969.08,0.944,"900ms","Younger","Shape"
"15",15,0.972,1,0.056,5.31,743.33,0.944,"900ms","Younger","Shape"
"16",16,0.778,0.778,0.222,3.53,1518.86,0.556,"900ms","Older","Shape"
"17",17,0.944,0.944,0.056,5.81,793.19,0.888,"900ms","Younger","Shape"
"18",18,0.889,0.944,0.167,9.44,1496.14,0.777,"900ms","Older","Shape"
"19",19,0.75,0.833,0.333,3,1449.03,0.5,"900ms","Younger","Shape"
"20",20,0.917,0.889,0.056,5,952.33,0.833,"900ms","Younger","Shape"
"21",21,0.889,0.889,0.111,5,1964.89,0.778,"900ms","Older","Shape"
"22",22,0.944,0.944,0.056,5,1119.31,0.888,"900ms","Younger","Shape"
"23",23,0.806,0.833,0.222,9.17,1223.11,0.611,"900ms","Younger","Shape"
"24",24,0.889,0.833,0.056,6.36,876.61,0.777,"900ms","Younger","Shape"
"25",25,0.889,0.833,0.056,5.03,698.86,0.777,"900ms","Younger","Shape"
"26",26,0.889,0.889,0.111,5.08,961.22,0.778,"900ms","Younger","Shape"
